Price,Close,High,Low,Open,Volume
Ticker,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS
Date,,,,,
2025-09-01,9.539999961853027,9.90999984741211,9.529999732971191,9.880000114440918,429366
2025-09-02,9.460000038146973,9.600000381469727,9.38599967956543,9.569999694824219,312969
2025-09-03,9.449999809265137,9.652000427246094,9.444000244140625,9.5,154461
2025-09-04,9.42199993133545,9.534000396728516,9.42199993133545,9.456000328063965,109564
2025-09-05,9.46399974822998,9.609999656677246,9.40999984741211,9.494000434875488,118149
2025-09-08,9.399999618530273,9.531999588012695,9.369999885559082,9.484000205993652,123580
2025-09-09,9.170000076293945,9.40999984741211,9.11400032043457,9.380000114440918,248633
2025-09-10,9.317999839782715,9.489999771118164,9.170000076293945,9.170000076293945,225526
2025-09-11,9.194000244140625,9.319999694824219,9.161999702453613,9.319999694824219,109364
2025-09-12,9.338000297546387,9.420000076293945,9.10200023651123,9.229999542236328,183511
2025-09-15,9.571999549865723,9.704000473022461,9.350000381469727,9.350000381469727,259612
2025-09-16,9.473999977111816,9.795999526977539,9.473999977111816,9.633999824523926,184229
2025-09-17,9.569999694824219,9.600000381469727,9.465999603271484,9.470000267028809,120429
2025-09-18,9.631999969482422,9.6899995803833,9.515999794006348,9.569999694824219,117748
2025-09-19,9.817999839782715,9.817999839782715,9.510000228881836,9.630000114440918,488269
2025-09-22,9.767999649047852,9.880000114440918,9.62600040435791,9.800000190734863,153632
2025-09-23,9.739999771118164,10.100000381469727,9.73799991607666,9.75,329726
2025-09-24,9.824000358581543,9.961999893188477,9.697999954223633,9.70199966430664,154342
2025-09-25,9.649999618530273,9.86400032043457,9.60200023651123,9.819999694824219,169479
2025-09-26,9.45199966430664,9.75,9.369999885559082,9.718000411987305,220874
2025-09-29,9.600000381469727,9.600000381469727,9.449999809265137,9.522000312805176,96579
2025-09-30,9.649999618530273,9.744000434875488,9.48799991607666,9.600000381469727,143463
2025-10-01,9.899999618530273,10.0,9.61400032043457,9.652000427246094,386808
2025-10-02,9.649999618530273,10.109999656677246,9.550000190734863,10.024999618530273,448017
2025-10-03,10.34000015258789,10.34000015258789,9.59000015258789,9.670000076293945,819211
2025-10-06,10.289999961853027,10.494999885559082,10.140000343322754,10.34000015258789,464980
2025-10-07,10.164999961853027,10.260000228881836,10.079999923706055,10.260000228881836,263400
2025-10-08,10.46500015258789,10.494999885559082,10.15999984741211,10.15999984741211,277487
2025-10-09,11.079999923706055,11.279999732971191,10.460000038146973,10.5,770131
